Seorang mahasiswa memiliki informasi nama, jenis kelamin, dan tempat lahir. Dari informasi yang tersedia, data apa yang bisa diperoleh terkait mahasiswa tersebut?	Nama adalah “Diah Anjali” dan jenis kelamin adalah “Perempuan”	Alamat adalah “Jalan Arjuna No. 90X” dan jenis kelamin adalah “perempuan”	Nama adalah “Diah Anjali” dan alamat adalah “Jl. A. Yani No. 17”	Alamat adalah “Jl. A. Yani No. 17” dan Tanggal lahir adalah 17 Agustus 1988	1	0	1
Contoh ilustrasi pada gambar berikut ini tergolong dalam …	Data terstruktur	Data semi terstruktur	Data tidak terstruktur	Data teratur	1	1	1
Contoh dalam penyajian data berikut ini merupakan jenis data …	Terstruktur	Semi terstruktur	Tidak terstruktur	Teratur	3	1	1
Yang termasuk sumber dari data tidak terstruktur, adalah	Structered Query Language (SQL)	Spreadsheets seperti Excel	Form yang diakses secara online seperti google form	Memo	4	0	1
Model akses file yang hanya dapat ditulis oleh sebuah program, adalah …	Sistem basis data	Sistem Berkas	Basis data	Model Data	2	0	2
Berikut ini adalah masalah-masalah yang muncul ketika menggunakan sistem berkas, kecuali	Adanya redundansi data	Isolasi data	Data dapat diakses secara serentak oleh banyak pengguna	Adanya batasan mengenai hak akses	3	0	2
Ada beberapa faktor yang harus dipertimbangkan ketika menangani permasalahan integritas dalam penggunaan sistem berkas, yaitu	Nilai data harus memenuhi batasan konsistensi tertentu yang ditentukan dalam program aplikasi.	Mudah untuk membuat perubahan pada program aplikasi untuk menegakkan batasan baru	Yang memenuhi batasan konsistensi tertentu disebut informasi	Perubahan pada program aplikasi dapat dilakukan dengan mudah dan cepat	1	0	2
Berikut ini yang merupakan contoh sebagai permasalahan pembatasan akses serentak terhadap data dalam sistem berkas adalah …	Ketika aplikasi membuka file, file dalam kondisi terkunci	Seorang pengguna dapat mengakses beberapa file dalam sebuah aplikasi	Semua pengguna dapat mengakses semua file dalam sebuah aplikasi	File dalam kondisi tidak terkunci ketika aplikasi membuka file	1	0	2
Uraian berikut yang menunjukkan sebagai syarat utama dari sebuah basis data adalah	Data yang tersimpan harus saling berhubungan	Tidak mementingkan berhubungan antar data	Data tersimpan tidak saling berhubungan tetapi bisa diakses secara cepat	Hubungan antar data tidak dibutuhkan	1	0	3
Berikut ini yang menunjukkan sebagai salah satu tujuan dari pemanfaatan basis data, kecuali	Efisiensi Ruang Penyimpanan (space)	Ketersediaan (Availibility)	Kelengkapan (Completeness)	Kesempurnaan (perfection)	4	0	3
